school,date,type,count
YMCA - East Boston,2021-11-01,BB small group,3
YMCA - East Boston,2021-12-01,BB small group,1
YMCA - East Boston,2022-01-01,Did NOT work on math instruction,1
YMCA - East Boston,2022-03-01,Did NOT work on math instruction,5
YMCA - East Boston,2022-04-01,Did NOT work on math instruction,2
South Boston Neighborhood House,2021-12-01,Did NOT work on math instruction,1
South Boston Neighborhood House,2022-03-01,Did NOT work on math instruction,1
YMCA RTH,2022-03-01,Did NOT work on math instruction,1
ABCD - Jamaica Plain,2021-10-01,Did NOT work on math instruction,2
ABCD - Jamaica Plain,2021-09-01,Did NOT work on math instruction,1
ABCD - Jamaica Plain,2021-11-01,Did NOT work on math instruction,2
ABCD - Jamaica Plain,2022-03-01,Did NOT work on math instruction,1
Shaloh,2021-10-01,Did NOT work on math instruction,1
Shaloh,2021-12-01,Did NOT work on math instruction,1
Shaloh,2022-03-01,Did NOT work on math instruction,1
Children Services of Roxbury,2021-11-01,Did NOT work on math instruction,1
Children Services of Roxbury,2022-03-01,Did NOT work on math instruction,1
ABCD - Walnut Grove,2021-09-01,Did NOT work on math instruction,1
ABCD - Walnut Grove,2021-10-01,Did NOT work on math instruction,2
ABCD - Walnut Grove,2021-11-01,Did NOT work on math instruction,1
Mission Grammar,2021-10-01,Did NOT work on math instruction,1
Mission Grammar,2021-11-01,Did NOT work on math instruction,1
Mission Grammar,2021-11-01,BB small group,2
Mission Grammar,2021-12-01,BB small group,1
Mission Grammar,2022-03-01,Did NOT work on math instruction,1
Mission Grammar,2022-04-01,BB small group,1
East Boston Social Center,2022-03-01,Did NOT work on math instruction,2
East Boston Social Center,2022-04-01,Did NOT work on math instruction,1
IBA,2021-11-01,Did NOT work on math instruction,1
IBA,2021-10-01,Did NOT work on math instruction,1
JFK Center,2021-09-01,Did NOT work on math instruction,2
JFK Center,2021-10-01,Did NOT work on math instruction,1
JFK Center,2021-10-01,BB whole group,1
JFK Center,2021-10-01,BB small group,1
JFK Center,2021-11-01,Did NOT work on math instruction,2
JFK Center,2021-11-01,BB whole group,1
JFK Center,2022-03-01,BB small group,1
JFK Center,2022-03-01,Did NOT work on math instruction,2
Little Voices,2021-09-01,Did NOT work on math instruction,1
Little Voices,2021-10-01,Did NOT work on math instruction,2
Little Voices,2021-10-01,BB whole group,1
Little Voices,2021-11-01,Did NOT work on math instruction,5
Little Voices,2021-11-01,BB whole group,1
Little Voices,2021-12-01,Did NOT work on math instruction,1
Little Voices,2021-12-01,BB whole group,1
Little Voices,2022-02-01,Did NOT work on math instruction,2
Little Voices,2022-03-01,BB whole group,1
Little Voices,2022-03-01,BB small group,1
Little Voices,2022-03-01,Did NOT work on math instruction,3
Boys & Girls Club - McLaughlin,2021-09-01,Did NOT work on math instruction,1
Boys & Girls Club - McLaughlin,2022-03-01,Did NOT work on math instruction,1
Torah Academy,2022-03-01,Did NOT work on math instruction,3
Boys & Girls Club - Denny,2021-10-01,Did NOT work on math instruction,1
Boys & Girls Club - Denny,2021-11-01,Did NOT work on math instruction,1
Boys & Girls Club - Denny,2022-01-01,Did NOT work on math instruction,1
Boys & Girls Club - Denny,2022-03-01,BB centers,1
Children's Services of Roxbury,2021-11-01,Did NOT work on math instruction,1
Horizons for Children,2021-10-01,Did NOT work on math instruction,2
Horizons for Children,2021-11-01,Did NOT work on math instruction,2
Horizons for Children,2022-03-01,Did NOT work on math instruction,2
Horizons for Children,2022-03-01,BB small group,1
YMCA Wang,2021-10-01,Did NOT work on math instruction,1
YMCA Wang,2021-09-01,Did NOT work on math instruction,1
YMCA Wang,2022-03-01,Did NOT work on math instruction,1
Nurtury - Mt Pleasant,2021-11-01,Did NOT work on math instruction,2
YMCA Roxbury,2021-10-01,Did NOT work on math instruction,2
YMCA Roxbury,2021-11-01,Did NOT work on math instruction,1
YMCA Roxbury,2021-12-01,Did NOT work on math instruction,1
YMCA Roxbury,2022-02-01,Did NOT work on math instruction,1
YMCA - West Roxbury,2021-09-01,Did NOT work on math instruction,1
YMCA - West Roxbury,2021-10-01,Did NOT work on math instruction,1
YMCA - West Roxbury,2021-11-01,Did NOT work on math instruction,1
YMCA - West Roxbury,2021-12-01,Did NOT work on math instruction,1
Wesley,2021-11-01,Did NOT work on math instruction,2
Wesley,2021-12-01,Did NOT work on math instruction,1
Wesley,2022-04-01,Did NOT work on math instruction,1
Boys & Girls Club - Marr,2021-10-01,Did NOT work on math instruction,1
Boys & Girls Club - Marr,2021-12-01,Did NOT work on math instruction,1
Boys & Girls Club - Marr,2022-04-01,Did NOT work on math instruction,1
Hattie B Cooper,2021-10-01,Did NOT work on math instruction,1
Hattie B Cooper,2021-12-01,Did NOT work on math instruction,2
Hattie B Cooper,2022-03-01,Did NOT work on math instruction,1
VietAid,2022-03-01,Did NOT work on math instruction,1
ABCD Roslindale,2021-11-01,Did NOT work on math instruction,1
ABCD Roslindale,2021-12-01,Did NOT work on math instruction,1
ABCD Hyde Park,2021-10-01,BB centers,1
ABCD Hyde Park,2021-12-01,BB centers,1
ABCD Hyde Park,2022-03-01,Did NOT work on math instruction,1
