school,date,type,count
Nurtury - Mt Pleasant,2020-10-01,Did NOT work on math instruction,3
Nurtury - Mt Pleasant,2020-11-01,Did NOT work on math instruction,1
Nurtury - Mt Pleasant,2021-01-01,Did NOT work on math instruction,1
Nurtury - Mt Pleasant,2020-12-01,Did NOT work on math instruction,1
Nurtury - Mt Pleasant,2021-02-01,Did NOT work on math instruction,1
Nurtury - Horadan Way,2021-01-01,Did NOT work on math instruction,2
Nurtury - Horadan Way,2020-12-01,Did NOT work on math instruction,1
Mission Grammar,2020-10-01,BB small group,1
Mission Grammar,2020-10-01,Did NOT work on math instruction,1
Mission Grammar,2020-12-01,Did NOT work on math instruction,1
Mission Grammar,2020-12-01,BB small group,1
Mission Grammar,2021-01-01,BB small group,4
Mission Grammar,2021-03-01,BB centers,1
Mission Grammar,2021-05-01,Did NOT work on math instruction,2
BCNC,2020-10-01,Did NOT work on math instruction,3
BCNC,2020-10-01,BB whole group,1
BCNC,2020-11-01,Did NOT work on math instruction,2
BCNC,2020-11-01,BB whole group,1
BCNC,2020-11-01,BB small group,1
BCNC,2020-12-01,Did NOT work on math instruction,4
BCNC,2021-01-01,Did NOT work on math instruction,3
BCNC,2021-02-01,Did NOT work on math instruction,3
BCNC,2021-03-01,BB whole group,1
BCNC,2021-03-01,Did NOT work on math instruction,2
BCNC,2021-04-01,Did NOT work on math instruction,2
BCNC,2021-05-01,Did NOT work on math instruction,1
Shaloh,2020-09-01,Other,1
Shaloh,2020-10-01,Other,1
Shaloh,2020-10-01,BB whole group,1
Shaloh,2020-10-01,BB small group,1
Shaloh,2020-11-01,BB whole group,1
Shaloh,2020-12-01,BB whole group,1
Shaloh,2020-12-01,Did NOT work on math instruction,1
Shaloh,2021-01-01,BB whole group,1
Shaloh,2021-02-01,Did NOT work on math instruction,1
Shaloh,2021-02-01,BB whole group,1
Shaloh,2021-03-01,BB whole group,2
Shaloh,2021-04-01,BB whole group,2
Horizons for Children,2020-10-01,Did NOT work on math instruction,1
Horizons for Children,2020-12-01,BB whole group,1
Horizons for Children,2020-12-01,Did NOT work on math instruction,1
Horizons for Children,2021-01-01,Did NOT work on math instruction,2
Horizons for Children,2021-02-01,BB small group,2
Horizons for Children,2021-03-01,BB small group,2
Horizons for Children,2021-03-01,Did NOT work on math instruction,2
Horizons for Children,2021-04-01,BB small group,1
YMCA RTH,2020-10-01,Did NOT work on math instruction,1
YMCA RTH,2020-11-01,Did NOT work on math instruction,1
YMCA RTH,2020-12-01,Did NOT work on math instruction,1
YMCA RTH,2021-01-01,Did NOT work on math instruction,2
