school,date,type,count
Nurtury - Mt Pleasant,2020-10-01,Classroom coaching session,3
Nurtury - Mt Pleasant,2020-10-01,Coaching session with the leadership team,1
Nurtury - Mt Pleasant,2020-11-01,Classroom coaching session,1
Nurtury - Mt Pleasant,2021-01-01,Coaching session with the leadership team,1
Nurtury - Mt Pleasant,2021-01-01,Classroom coaching session,1
Nurtury - Mt Pleasant,2020-12-01,Classroom coaching session,1
Nurtury - Mt Pleasant,2021-02-01,Classroom coaching session,1
Nurtury - Horadan Way,2021-01-01,Classroom coaching session,2
Nurtury - Horadan Way,2020-12-01,Classroom coaching session,1
Mission Grammar,2020-09-01,Classroom coaching session,1
Mission Grammar,2020-10-01,Classroom coaching session,2
Mission Grammar,2020-12-01,Classroom coaching session,2
Mission Grammar,2021-01-01,Classroom coaching session,4
Mission Grammar,2021-03-01,Classroom coaching session,1
Mission Grammar,2021-03-01,Coaching session with the leadership team,1
Mission Grammar,2021-04-01,Coaching session with the leadership team,1
Mission Grammar,2021-05-01,Classroom coaching session,2
Mission Grammar,2021-05-01,Coaching session with the leadership team,1
Mission Grammar,2021-06-01,Coaching session with the leadership team,1
BCNC,2020-10-01,"Licensing, accreditation, or QRIS",1
BCNC,2020-10-01,Coaching session with the leadership team,2
BCNC,2020-10-01,Classroom coaching session,4
BCNC,2020-11-01,Classroom coaching session,4
BCNC,2020-11-01,Coaching session with the leadership team,1
BCNC,2020-11-01,"Licensing, accreditation, or QRIS",1
BCNC,2020-12-01,Classroom coaching session,4
BCNC,2020-12-01,Coaching session with the leadership team,1
BCNC,2021-01-01,Classroom coaching session,3
BCNC,2021-02-01,Classroom coaching session,3
BCNC,2021-03-01,Classroom coaching session,3
BCNC,2021-04-01,Classroom coaching session,2
BCNC,2021-04-01,Coaching session with the leadership team,1
BCNC,2021-05-01,Classroom coaching session,1
Shaloh,2020-09-01,Classroom coaching session,1
Shaloh,2020-09-01,"Licensing, accreditation, or QRIS",1
Shaloh,2020-10-01,"Licensing, accreditation, or QRIS",1
Shaloh,2020-10-01,Classroom coaching session,2
Shaloh,2020-11-01,Classroom coaching session,1
Shaloh,2020-12-01,Classroom coaching session,2
Shaloh,2021-01-01,Classroom coaching session,1
Shaloh,2021-02-01,Classroom coaching session,2
Shaloh,2021-03-01,Classroom coaching session,2
Shaloh,2021-04-01,Classroom coaching session,2
Horizons for Children,2020-09-01,Coaching session with the leadership team,2
Horizons for Children,2020-09-01,Classroom coaching session,1
Horizons for Children,2020-10-01,Coaching session with the leadership team,4
Horizons for Children,2020-10-01,Classroom coaching session,4
Horizons for Children,2020-11-01,Classroom coaching session,1
