school,date,type,count
Nurtury - Mt Pleasant,2020-10-01,Other,3
Nurtury - Mt Pleasant,2020-11-01,Other,1
Nurtury - Mt Pleasant,2021-01-01,Intro to Centers,1
Nurtury - Mt Pleasant,2020-12-01,Intro to Centers,1
Nurtury - Mt Pleasant,2021-02-01,Other,1
Nurtury - Horadan Way,2021-01-01,Intro to Centers,2
Nurtury - Horadan Way,2020-12-01,Intro to Centers,1
Mission Grammar,2020-09-01,Other,1
Mission Grammar,2020-10-01,Other,1
Mission Grammar,2020-12-01,Center,1
Mission Grammar,2020-12-01,Literacy small groups,1
Mission Grammar,2020-12-01,BB small group,1
Mission Grammar,2021-01-01,Center,1
Mission Grammar,2021-01-01,Literacy small groups,2
Mission Grammar,2021-01-01,BB small group,2
Mission Grammar,2021-01-01,Other,1
Mission Grammar,2021-05-01,Other,1
BCNC,2020-10-01,Read Aloud,3
BCNC,2020-10-01,Heggerty,2
BCNC,2020-10-01,BB whole group,2
BCNC,2020-10-01,Intro to Centers,1
BCNC,2020-11-01,Intro to Centers,1
BCNC,2020-11-01,Read Aloud,1
BCNC,2020-11-01,Heggerty,2
BCNC,2020-11-01,BB whole group,1
BCNC,2020-11-01,BB centers,1
BCNC,2020-11-01,Other,1
BCNC,2020-12-01,Read Aloud,2
BCNC,2020-12-01,Thinking and Feedback,2
BCNC,2020-12-01,Other,3
BCNC,2020-12-01,Heggerty,1
BCNC,2020-12-01,Literacy small groups,1
BCNC,2021-01-01,Read Aloud,2
BCNC,2021-01-01,Heggerty,1
BCNC,2021-01-01,Other,2
BCNC,2021-01-01,Thinking and Feedback,1
BCNC,2021-02-01,Read Aloud,3
BCNC,2021-02-01,Heggerty,3
BCNC,2021-02-01,LFOAI,2
BCNC,2021-02-01,Other,1
BCNC,2021-03-01,Heggerty,2
BCNC,2021-03-01,LFOAI,1
BCNC,2021-03-01,Other,2
BCNC,2021-03-01,Intro to Centers,1
BCNC,2021-03-01,Read Aloud,2
BCNC,2021-03-01,Thinking and Feedback,1
BCNC,2021-03-01,BB whole group,1
BCNC,2021-04-01,Literacy small groups,1
BCNC,2021-04-01,Read Aloud,1
BCNC,2021-04-01,Other,2
BCNC,2021-04-01,Intro to Centers,1
BCNC,2021-04-01,Thinking and Feedback,1
BCNC,2021-05-01,Read Aloud,1
BCNC,2021-05-01,Heggerty,1
Shaloh,2020-10-01,Other,1
Shaloh,2020-11-01,Intro to Centers,1
Shaloh,2020-11-01,Read Aloud,1
Shaloh,2020-11-01,BB whole group,1
Shaloh,2020-11-01,Other,1
Shaloh,2020-12-01,Intro to Centers,1
Shaloh,2020-12-01,Center,1
Shaloh,2020-12-01,Read Aloud,1
Shaloh,2020-12-01,BB whole group,1
Shaloh,2020-12-01,Other,1
Shaloh,2021-01-01,Heggerty,1
Shaloh,2021-01-01,BB whole group,1
Shaloh,2021-01-01,Other,1
Shaloh,2021-02-01,Thinking and Feedback,1
Shaloh,2021-02-01,Intro to Centers,1
Shaloh,2021-02-01,Center,1
Shaloh,2021-02-01,Read Aloud,1
Shaloh,2021-02-01,BB whole group,1
Shaloh,2021-02-01,Other,1
Shaloh,2021-03-01,BB whole group,2
Shaloh,2021-03-01,Other,1
Shaloh,2021-03-01,Read Aloud,1
Shaloh,2021-03-01,Heggerty,1
Shaloh,2021-04-01,Intro to Centers,1
Shaloh,2021-04-01,Read Aloud,1
Shaloh,2021-04-01,BB whole group,2
Shaloh,2021-04-01,Other,1
Horizons for Children,2020-10-01,Intro to Centers,2
Horizons for Children,2020-10-01,Center,2
Horizons for Children,2020-10-01,Other,1
Horizons for Children,2020-11-01,Heggerty,1
Horizons for Children,2020-12-01,Literacy small groups,1
Horizons for Children,2020-12-01,LFOAI,1
Horizons for Children,2020-12-01,BB whole group,1
Horizons for Children,2020-12-01,Thinking and Feedback,2
Horizons for Children,2021-01-01,Thinking and Feedback,2
Horizons for Children,2021-01-01,Read Aloud,2
Horizons for Children,2021-02-01,BB small group,2
Horizons for Children,2021-03-01,BB small group,2
Horizons for Children,2021-03-01,Literacy small groups,2
Horizons for Children,2021-04-01,BB small group,1
YMCA RTH,2020-10-01,Other,1
YMCA RTH,2020-11-01,Intro to Centers,1
YMCA RTH,2020-11-01,Center,1
YMCA RTH,2020-11-01,Heggerty,1
YMCA RTH,2020-12-01,Other,1
YMCA RTH,2021-01-01,Intro to Centers,2
YMCA RTH,2021-01-01,Center,2
YMCA RTH,2021-01-01,Heggerty,1
YMCA RTH,2021-02-01,Center,1
