school,date,type,count
Nurtury - Mt Pleasant,2020-10-01,Did not work on Focus,3
Nurtury - Mt Pleasant,2020-11-01,Did not work on Focus,1
Nurtury - Mt Pleasant,2021-01-01,Intro to Centers,1
Nurtury - Mt Pleasant,2020-12-01,Intro to Centers,1
Nurtury - Mt Pleasant,2020-12-01,Heggerty,1
Nurtury - Mt Pleasant,2021-02-01,Did not work on Focus,1
Nurtury - Horadan Way,2021-01-01,Did not work on Focus,1
Nurtury - Horadan Way,2021-01-01,Intro to Centers,1
Nurtury - Horadan Way,2020-12-01,Intro to Centers,1
Mission Grammar,2020-10-01,Intro to Centers,1
Mission Grammar,2020-10-01,Center,1
Mission Grammar,2020-10-01,Literacy small groups,1
Mission Grammar,2020-10-01,Heggerty,1
Mission Grammar,2020-10-01,Did not work on Focus,1
Mission Grammar,2020-12-01,Center,1
Mission Grammar,2020-12-01,Literacy small groups,1
Mission Grammar,2021-01-01,Literacy small groups,4
Mission Grammar,2021-03-01,Center,1
Mission Grammar,2021-05-01,Did not work on Focus,1
BCNC,2020-10-01,Did not work on Focus,1
BCNC,2020-10-01,Read Aloud,3
BCNC,2020-10-01,Heggerty,2
BCNC,2020-10-01,Intro to Centers,1
BCNC,2020-11-01,Intro to Centers,1
BCNC,2020-11-01,Read Aloud,1
BCNC,2020-11-01,Did not work on Focus,1
BCNC,2020-11-01,Heggerty,1
BCNC,2020-12-01,Thinking and Feedback,2
BCNC,2020-12-01,Read Aloud,1
BCNC,2020-12-01,Did not work on Focus,1
BCNC,2020-12-01,Literacy small groups,1
BCNC,2021-01-01,Read Aloud,3
BCNC,2021-01-01,Thinking and Feedback,2
BCNC,2021-02-01,Read Aloud,1
BCNC,2021-02-01,Heggerty,2
BCNC,2021-02-01,Did not work on Focus,1
BCNC,2021-03-01,Did not work on Focus,2
BCNC,2021-03-01,Read Aloud,1
BCNC,2021-04-01,Read Aloud,1
BCNC,2021-04-01,Did not work on Focus,1
BCNC,2021-05-01,Read Aloud,1
Shaloh,2020-09-01,Center,1
Shaloh,2020-09-01,Literacy small groups,1
Shaloh,2020-10-01,Did not work on Focus,1
Shaloh,2020-10-01,Literacy small groups,1
Shaloh,2020-10-01,Read Aloud,1
Shaloh,2020-11-01,Intro to Centers,1
Shaloh,2020-11-01,Read Aloud,1
Shaloh,2020-12-01,Did not work on Focus,2
Shaloh,2021-01-01,Did not work on Focus,1
Shaloh,2021-02-01,Did not work on Focus,1
Shaloh,2021-02-01,Read Aloud,1
Shaloh,2021-03-01,Did not work on Focus,1
Shaloh,2021-03-01,Read Aloud,1
Shaloh,2021-04-01,Center,1
Shaloh,2021-04-01,Read Aloud,1
Shaloh,2021-04-01,Did not work on Focus,1
Horizons for Children,2020-10-01,Did not work on Focus,1
Horizons for Children,2020-10-01,Intro to Centers,1
Horizons for Children,2020-10-01,Center,1
Horizons for Children,2020-12-01,Literacy small groups,1
Horizons for Children,2020-12-01,Thinking and Feedback,2
Horizons for Children,2021-01-01,Thinking and Feedback,2
Horizons for Children,2021-01-01,Read Aloud,2
Horizons for Children,2021-02-01,Did not work on Focus,1
Horizons for Children,2021-03-01,Did not work on Focus,3
Horizons for Children,2021-03-01,Literacy small groups,1
Horizons for Children,2021-04-01,Did not work on Focus,1
YMCA RTH,2020-10-01,Read Aloud,1
YMCA RTH,2020-10-01,Heggerty,1
YMCA RTH,2020-11-01,Intro to Centers,1
YMCA RTH,2020-11-01,Center,1
YMCA RTH,2020-12-01,Did not work on Focus,1
YMCA RTH,2021-01-01,Intro to Centers,2
YMCA RTH,2021-01-01,Center,2
YMCA RTH,2021-02-01,Did not work on Focus,1
YMCA RTH,2021-03-01,Did not work on Focus,1
YMCA RTH,2021-05-01,Did not work on Focus,1
YMCA RTH,2021-06-01,Did not work on Focus,1
Little Voices,2020-10-01,Intro to Centers,1
Little Voices,2020-10-01,Center,2
Little Voices,2020-11-01,Did not work on Focus,1
Little Voices,2020-11-01,Intro to Centers,1
Little Voices,2020-11-01,Center,1
Little Voices,2020-12-01,Thinking and Feedback,2
Little Voices,2020-12-01,Did not work on Focus,2
Little Voices,2020-12-01,Literacy small groups,1
Little Voices,2021-01-01,Read Aloud,2
Little Voices,2021-01-01,Thinking and Feedback,1
Little Voices,2021-01-01,Did not work on Focus,1
Little Voices,2021-02-01,Did not work on Focus,1
Little Voices,2021-02-01,Storytelling/Storyacting,1
Little Voices,2021-02-01,Read Aloud,1
Little Voices,2021-04-01,Storytelling/Storyacting,2
Little Voices,2021-05-01,Intro to Centers,1
Little Voices,2021-05-01,Center,2
Little Voices,2021-05-01,Storytelling/Storyacting,1
Little Voices,2021-05-01,Heggerty,1
Hattie B Cooper,2020-10-01,Intro to Centers,1
Hattie B Cooper,2020-10-01,Center,1
Hattie B Cooper,2020-10-01,Thinking and Feedback,1
Hattie B Cooper,2020-10-01,Literacy small groups,1
Hattie B Cooper,2020-11-01,Did not work on Focus,2
Hattie B Cooper,2021-01-01,Thinking and Feedback,2
Hattie B Cooper,2021-02-01,Center,2
Hattie B Cooper,2021-03-01,Read Aloud,1
Hattie B Cooper,2021-04-01,Read Aloud,1
Hattie B Cooper,2021-05-01,Did not work on Focus,1
JFK Center,2020-09-01,Did not work on Focus,2
JFK Center,2020-10-01,Did not work on Focus,4
JFK Center,2020-10-01,Intro to Centers,1
JFK Center,2020-10-01,Center,2
JFK Center,2020-11-01,Intro to Centers,1
JFK Center,2020-11-01,Center,2
JFK Center,2020-11-01,Thinking and Feedback,1
JFK Center,2020-11-01,Did not work on Focus,1
JFK Center,2020-12-01,Heggerty,1
JFK Center,2020-12-01,Read Aloud,1
JFK Center,2021-01-01,Read Aloud,2
JFK Center,2021-01-01,Literacy small groups,1
JFK Center,2021-02-01,Read Aloud,3
JFK Center,2021-02-01,Center,2
JFK Center,2021-02-01,Literacy small groups,1
JFK Center,2021-02-01,Intro to Centers,1
JFK Center,2021-03-01,Did not work on Focus,3
JFK Center,2021-03-01,Intro to Centers,1
JFK Center,2021-03-01,Center,1
JFK Center,2021-03-01,Read Aloud,1
JFK Center,2021-04-01,Heggerty,2
JFK Center,2021-05-01,Center,2
JFK Center,2021-05-01,Storytelling/Storyacting,1
JFK Center,2021-05-01,Intro to Centers,1
YMCA - East Boston,2020-10-01,Literacy small groups,2
YMCA - East Boston,2020-10-01,Read Aloud,2
YMCA - East Boston,2020-10-01,Center,1
YMCA - East Boston,2020-11-01,Did not work on Focus,2
YMCA - East Boston,2020-11-01,Literacy small groups,1
YMCA - East Boston,2020-12-01,Did not work on Focus,1
YMCA - East Boston,2021-01-01,Did not work on Focus,1
YMCA - East Boston,2021-01-01,Literacy small groups,2
YMCA - East Boston,2021-02-01,Literacy small groups,2
YMCA - East Boston,2021-03-01,Center,2
YMCA - East Boston,2021-03-01,Literacy small groups,1
YMCA - East Boston,2021-04-01,Did not work on Focus,1
YMCA - East Boston,2021-05-01,Did not work on Focus,1
ABCD Hyde Park,2020-11-01,Intro to Centers,1
ABCD Hyde Park,2020-11-01,Read Aloud,1
ABCD Hyde Park,2021-01-01,Intro to Centers,1
ABCD Hyde Park,2021-01-01,Center,1
ABCD Hyde Park,2021-02-01,Literacy small groups,1
ABCD Hyde Park,2021-03-01,Did not work on Focus,1
ABCD Hyde Park,2021-04-01,Did not work on Focus,1
ABCD Hyde Park,2021-05-01,Center,1
Crispus Attucks,2020-11-01,Center,1
Crispus Attucks,2020-11-01,Thinking and Feedback,1
Crispus Attucks,2021-02-01,Center,1
Crispus Attucks,2021-03-01,Did not work on Focus,1
Crispus Attucks,2021-04-01,Center,1
Crispus Attucks,2021-04-01,Thinking and Feedback,1
Crispus Attucks,2021-05-01,Center,1
Crispus Attucks,2021-05-01,Heggerty,1
YMCA Wang,2020-11-01,Center,2
YMCA Wang,2020-11-01,Thinking and Feedback,1
YMCA Wang,2020-12-01,Center,1
YMCA Wang,2021-01-01,Center,1
YMCA Wang,2021-01-01,Literacy small groups,1
YMCA Wang,2021-02-01,Center,1
YMCA Wang,2021-02-01,Literacy small groups,1
YMCA Wang,2021-03-01,Literacy small groups,2
YMCA Wang,2021-04-01,Literacy small groups,1
Ellis Memorial,2020-10-01,Did not work on Focus,4
Ellis Memorial,2020-11-01,Did not work on Focus,1
