school,date,type,count
YMCA RTH,2021-01-01,Did NOT work on math instruction,2
YMCA RTH,2021-02-01,Did NOT work on math instruction,1
YMCA RTH,2021-03-01,BB whole group,1
YMCA RTH,2021-03-01,Did NOT work on math instruction,1
YMCA RTH,2021-05-01,Did NOT work on math instruction,1
YMCA RTH,2021-06-01,Did NOT work on math instruction,1
JFK Center,2021-01-01,Did NOT work on math instruction,3
JFK Center,2021-02-01,Did NOT work on math instruction,4
JFK Center,2021-03-01,BB small group,3
JFK Center,2021-03-01,Did NOT work on math instruction,3
JFK Center,2021-04-01,BB whole group,2
JFK Center,2021-04-01,Did NOT work on math instruction,1
JFK Center,2021-04-01,BB small group,1
JFK Center,2021-05-01,Other,1
JFK Center,2021-05-01,Did NOT work on math instruction,1
JFK Center,2021-05-01,BB centers,1
JFK Center,2021-09-01,Did NOT work on math instruction,2
JFK Center,2021-10-01,Did NOT work on math instruction,1
JFK Center,2021-10-01,BB whole group,1
JFK Center,2021-10-01,BB small group,1
JFK Center,2021-11-01,Did NOT work on math instruction,2
JFK Center,2021-11-01,BB whole group,1
Horizons for Children,2021-01-01,Did NOT work on math instruction,2
Horizons for Children,2021-02-01,BB small group,2
Horizons for Children,2021-03-01,BB small group,2
Horizons for Children,2021-03-01,Did NOT work on math instruction,2
Horizons for Children,2021-04-01,BB small group,1
Horizons for Children,2021-10-01,Did NOT work on math instruction,2
Horizons for Children,2021-11-01,Did NOT work on math instruction,2
Crispus Attucks,2021-02-01,Did NOT work on math instruction,1
Crispus Attucks,2021-03-01,BB small group,1
Nurtury - Horadan Way,2021-01-01,Did NOT work on math instruction,2
Shaloh,2021-01-01,BB whole group,1
Shaloh,2021-02-01,Did NOT work on math instruction,1
Shaloh,2021-02-01,BB whole group,1
Shaloh,2021-03-01,BB whole group,2
Shaloh,2021-04-01,BB whole group,2
Shaloh,2021-10-01,Did NOT work on math instruction,1
Shaloh,2021-12-01,Did NOT work on math instruction,1
ABCD - Jamaica Plain,2021-01-01,BB centers,2
ABCD - Jamaica Plain,2021-03-01,Did NOT work on math instruction,3
