school,date,type,count
YMCA RTH,2021-01-01,Classroom coaching session,2
YMCA RTH,2021-02-01,"Coaching session with the leadership team,Classroom coaching session",1
YMCA RTH,2021-03-01,Classroom coaching session,2
YMCA RTH,2021-05-01,Classroom coaching session,1
YMCA RTH,2021-06-01,"Coaching session with the leadership team,Classroom coaching session,Licensing, accreditation, or QRIS",1
JFK Center,2021-01-01,Coaching session with the leadership team,1
JFK Center,2021-01-01,Classroom coaching session,3
JFK Center,2021-02-01,Coaching session with the leadership team,1
JFK Center,2021-02-01,Classroom coaching session,4
JFK Center,2021-02-01,PD session,1
JFK Center,2021-03-01,Classroom coaching session,6
JFK Center,2021-03-01,Coaching session with the leadership team,1
JFK Center,2021-04-01,Classroom coaching session,4
JFK Center,2021-04-01,Coaching session with the leadership team,1
JFK Center,2021-05-01,Coaching session with the leadership team,1
JFK Center,2021-05-01,Classroom coaching session,3
JFK Center,2021-06-01,Coaching session with the leadership team,1
JFK Center,2021-09-01,Coaching session with the leadership team,1
JFK Center,2021-09-01,Classroom coaching session,2
JFK Center,2021-10-01,Classroom coaching session,2
JFK Center,2021-10-01,Coaching session with the leadership team,1
JFK Center,2021-11-01,Classroom coaching session,3
JFK Center,2021-11-01,Coaching session with the leadership team,1
Horizons for Children,2021-01-01,Classroom coaching session,3
Horizons for Children,2021-01-01,Coaching session with the leadership team,1
Horizons for Children,2021-02-01,Classroom coaching session,2
Horizons for Children,2021-02-01,Coaching session with the leadership team,2
Horizons for Children,2021-03-01,Classroom coaching session,4
Horizons for Children,2021-03-01,Coaching session with the leadership team,1
Horizons for Children,2021-04-01,Coaching session with the leadership team,1
Horizons for Children,2021-04-01,"Coaching session with the leadership team,Classroom coaching session",1
Horizons for Children,2021-10-01,Coaching session with the leadership team,1
Horizons for Children,2021-10-01,Classroom coaching session,2
Horizons for Children,2021-11-01,Classroom coaching session,1
Horizons for Children,2021-11-01,"Classroom coaching session,PD session",1
Crispus Attucks,2021-02-01,Classroom coaching session,1
Crispus Attucks,2021-03-01,Classroom coaching session,1
Crispus Attucks,2021-04-01,Classroom coaching session,1
Crispus Attucks,2021-05-01,"Classroom coaching session,PD session",1
Crispus Attucks,2021-07-01,Coaching session with the leadership team,2
Crispus Attucks,2021-08-01,Coaching session with the leadership team,1
Nurtury - Horadan Way,2021-01-01,Classroom coaching session,2
Shaloh,2021-01-01,Classroom coaching session,1
Shaloh,2021-02-01,Classroom coaching session,2
Shaloh,2021-03-01,Classroom coaching session,2
Shaloh,2021-04-01,Classroom coaching session,2
Shaloh,2021-10-01,Classroom coaching session,1
Shaloh,2021-12-01,Classroom coaching session,1
ABCD - Jamaica Plain,2021-01-01,Classroom coaching session,2
ABCD - Jamaica Plain,2021-03-01,Classroom coaching session,3
ABCD - Jamaica Plain,2021-04-01,Classroom coaching session,1
