school,date,type,count
YMCA RTH,2021-01-01,Intro to Centers,1
YMCA RTH,2021-01-01,Center,1
YMCA RTH,2021-01-01,Heggerty,1
YMCA RTH,2021-01-01,Intro to Centers,1
YMCA RTH,2021-01-01,Center,1
YMCA RTH,2021-02-01,Center,1
YMCA RTH,2021-02-01,Thinking and Feedback,1
YMCA RTH,2021-03-01,Literacy small groups,1
YMCA RTH,2021-03-01,Heggerty,1
YMCA RTH,2021-03-01,BB whole group,1
YMCA RTH,2021-03-01,Center,1
YMCA RTH,2021-03-01,Thinking and Feedback,1
YMCA RTH,2021-05-01,Center,1
YMCA RTH,2021-05-01,Thinking and Feedback,1
YMCA RTH,2021-06-01,Center,1
JFK Center,2021-01-01,Read Aloud,2
JFK Center,2021-01-01,Literacy small groups,1
JFK Center,2021-02-01,Read Aloud,1
JFK Center,2021-02-01,Other,1
JFK Center,2021-02-01,Read Aloud,1
JFK Center,2021-02-01,Intro to Centers,1
JFK Center,2021-02-01,Center,1
JFK Center,2021-03-01,BB small group,3
JFK Center,2021-03-01,Intro to Centers,1
JFK Center,2021-03-01,Center,1
JFK Center,2021-03-01,Read Aloud,1
JFK Center,2021-03-01,LFOAI,1
JFK Center,2021-04-01,Heggerty,2
JFK Center,2021-04-01,BB whole group,2
JFK Center,2021-04-01,LFOAI,1
JFK Center,2021-04-01,LFOAI,1
JFK Center,2021-04-01,BB small group,1
JFK Center,2021-05-01,Center,1
JFK Center,2021-05-01,Storytelling/Storyacting,1
JFK Center,2021-05-01,Intro to Centers,1
JFK Center,2021-05-01,Center,1
JFK Center,2021-09-01,Intro to Centers,1
JFK Center,2021-09-01,Center,1
JFK Center,2021-09-01,Read Aloud,1
JFK Center,2021-09-01,Literacy small groups,1
JFK Center,2021-09-01,Read Aloud,1
JFK Center,2021-10-01,Intro to Centers,1
JFK Center,2021-10-01,Center,1
JFK Center,2021-10-01,Literacy small groups,1
JFK Center,2021-10-01,BB whole group,1
JFK Center,2021-10-01,BB small group,1
JFK Center,2021-11-01,Center,1
JFK Center,2021-11-01,Thinking and Feedback,1
JFK Center,2021-11-01,BB centers,1
JFK Center,2021-11-01,Center,1
JFK Center,2021-11-01,Thinking and Feedback,1
JFK Center,2021-11-01,Heggerty,1
JFK Center,2021-11-01,BB whole group,1
Horizons for Children,2021-01-01,Thinking and Feedback,1
Horizons for Children,2021-01-01,Read Aloud,1
Horizons for Children,2021-01-01,Thinking and Feedback,1
Horizons for Children,2021-01-01,Read Aloud,1
Horizons for Children,2021-02-01,BB small group,2
Horizons for Children,2021-03-01,BB small group,2
Horizons for Children,2021-03-01,Literacy small groups,2
Horizons for Children,2021-04-01,BB small group,1
Horizons for Children,2021-10-01,Read Aloud,1
Horizons for Children,2021-10-01,Recess,1
Horizons for Children,2021-10-01,Lunch,1
Horizons for Children,2021-10-01,Heggerty,1
Horizons for Children,2021-11-01,Heggerty,2
Crispus Attucks,2021-02-01,Center,1
Crispus Attucks,2021-03-01,Literacy small groups,1
Crispus Attucks,2021-03-01,BB small group,1
Crispus Attucks,2021-04-01,Center,1
Crispus Attucks,2021-04-01,Read Aloud,1
Crispus Attucks,2021-04-01,Thinking and Feedback,1
Crispus Attucks,2021-05-01,Heggerty,1
Nurtury - Horadan Way,2021-01-01,Intro to Centers,2
Shaloh,2021-01-01,Heggerty,1
Shaloh,2021-01-01,BB whole group,1
Shaloh,2021-01-01,Other,1
Shaloh,2021-02-01,Thinking and Feedback,1
Shaloh,2021-02-01,Intro to Centers,1
Shaloh,2021-02-01,Center,1
Shaloh,2021-02-01,Read Aloud,1
Shaloh,2021-02-01,BB whole group,1
Shaloh,2021-02-01,Other,1
Shaloh,2021-03-01,BB whole group,1
Shaloh,2021-03-01,Other,1
Shaloh,2021-03-01,Read Aloud,1
Shaloh,2021-03-01,Heggerty,1
Shaloh,2021-03-01,BB whole group,1
Shaloh,2021-04-01,Intro to Centers,1
Shaloh,2021-04-01,Read Aloud,1
Shaloh,2021-04-01,BB whole group,1
Shaloh,2021-04-01,BB whole group,1
Shaloh,2021-04-01,Other,1
Shaloh,2021-10-01,Center,1
Shaloh,2021-10-01,Recess,1
Shaloh,2021-12-01,Intro to Centers,1
Shaloh,2021-12-01,Center,1
Shaloh,2021-12-01,Read Aloud,1
Shaloh,2021-12-01,Heggerty,1
Shaloh,2021-12-01,BB whole group,1
ABCD - Jamaica Plain,2021-01-01,Center,1
ABCD - Jamaica Plain,2021-01-01,Literacy small groups,1
ABCD - Jamaica Plain,2021-01-01,Heggerty,1
ABCD - Jamaica Plain,2021-01-01,BB centers,1
ABCD - Jamaica Plain,2021-01-01,Center,1
ABCD - Jamaica Plain,2021-01-01,Literacy small groups,1
ABCD - Jamaica Plain,2021-01-01,BB centers,1
ABCD - Jamaica Plain,2021-03-01,Center,2
ABCD - Jamaica Plain,2021-03-01,Literacy small groups,2
ABCD - Jamaica Plain,2021-03-01,LFOAI,2
ABCD - Jamaica Plain,2021-04-01,Center,1
ABCD - Jamaica Plain,2021-04-01,Literacy small groups,1
ABCD - Jamaica Plain,2021-04-01,LFOAI,1
ABCD - Jamaica Plain,2021-05-01,Center,1
ABCD - Jamaica Plain,2021-05-01,Literacy small groups,1
ABCD - Jamaica Plain,2021-05-01,Center,1
ABCD - Jamaica Plain,2021-05-01,Literacy small groups,1
ABCD - Jamaica Plain,2021-05-01,LFOAI,1
ABCD - Jamaica Plain,2021-10-01,Intro to Centers,1
ABCD - Jamaica Plain,2021-10-01,Center,1
ABCD - Jamaica Plain,2021-10-01,Thinking and Feedback,1
ABCD - Jamaica Plain,2021-09-01,Center,1
South Boston Neighborhood House,2021-01-01,Thinking and Feedback,1
South Boston Neighborhood House,2021-02-01,Intro to Centers,1
South Boston Neighborhood House,2021-02-01,Center,1
South Boston Neighborhood House,2021-02-01,Center,1
South Boston Neighborhood House,2021-03-01,Literacy small groups,1
South Boston Neighborhood House,2021-03-01,Storytelling/Storyacting,1
South Boston Neighborhood House,2021-12-01,Heggerty,1
South Boston Neighborhood House,2021-12-01,Thinking and Feedback,1
Nurtury - Tremont,2021-01-01,Other,1
Nurtury - Tremont,2021-01-01,Intro to Centers,1
Nurtury - Tremont,2021-01-01,Heggerty,1
Nurtury - Tremont,2021-02-01,Heggerty,1
Children's Services of Roxbury,2021-11-01,Other,1
YMCA Roxbury,2021-01-01,Center,1
YMCA Roxbury,2021-05-01,Center,1
YMCA Roxbury,2021-09-01,Center,1
YMCA Roxbury,2021-10-01,Center,2
ABCD Roslindale,2021-01-01,Center,2
ABCD Roslindale,2021-02-01,Literacy small groups,1
ABCD Roslindale,2021-02-01,BB small group,1
ABCD Roslindale,2021-03-01,BB small group,1
ABCD Roslindale,2021-04-01,Center,1
ABCD Roslindale,2021-05-01,Other,1
Little Voices,2021-01-01,Read Aloud,2
Little Voices,2021-01-01,Thinking and Feedback,1
Little Voices,2021-01-01,BB small group,1
Little Voices,2021-01-01,BB small group,1
Little Voices,2021-02-01,BB small group,1
Little Voices,2021-02-01,Storytelling/Storyacting,1
Little Voices,2021-02-01,Read Aloud,1
Little Voices,2021-03-01,LFOAI,2
Little Voices,2021-04-01,Storytelling/Storyacting,2
Little Voices,2021-05-01,Intro to Centers,1
Little Voices,2021-05-01,Center,1
Little Voices,2021-05-01,Storytelling/Storyacting,1
Little Voices,2021-05-01,Heggerty,1
Little Voices,2021-05-01,Center,1
Little Voices,2021-09-01,Intro to Centers,1
Little Voices,2021-09-01,Center,1
Little Voices,2021-09-01,Read Aloud,1
Little Voices,2021-09-01,Thinking and Feedback,1
Little Voices,2021-09-01,LFOAI,1
Little Voices,2021-09-01,BB whole group,1
Little Voices,2021-10-01,Intro to Centers,2
Little Voices,2021-10-01,Center,2
Little Voices,2021-10-01,Literacy small groups,1
Little Voices,2021-10-01,Read Aloud,1
Little Voices,2021-10-01,BB whole group,1
Little Voices,2021-11-01,Center,2
Little Voices,2021-11-01,Thinking and Feedback,2
Little Voices,2021-11-01,Other,1
Little Voices,2021-11-01,Intro to Centers,1
Little Voices,2021-11-01,BB whole group,1
Little Voices,2021-11-01,Heggerty,1
Little Voices,2021-12-01,Intro to Centers,1
Little Voices,2021-12-01,Center,1
Little Voices,2021-12-01,Thinking and Feedback,1
Little Voices,2021-12-01,Other,1
Little Voices,2021-12-01,Literacy small groups,1
Little Voices,2021-12-01,BB whole group,1
Nurtury - Learning Lab,2021-01-01,Intro to Centers,1
Nurtury - Learning Lab,2021-01-01,Read Aloud,1
Nurtury - Learning Lab,2021-12-01,Intro to Centers,1
Nurtury - Learning Lab,2021-12-01,Read Aloud,1
Nurtury - Learning Lab,2021-12-01,Heggerty,1
Nurtury - Learning Lab,2021-02-01,Intro to Centers,1
Nurtury - Learning Lab,2021-02-01,Read Aloud,1
Hattie B Cooper,2021-01-01,Thinking and Feedback,2
Hattie B Cooper,2021-02-01,Center,1
Hattie B Cooper,2021-03-01,Read Aloud,1
Hattie B Cooper,2021-04-01,Read Aloud,1
Hattie B Cooper,2021-05-01,LFOAI,1
Hattie B Cooper,2021-10-01,Intro to Centers,1
Hattie B Cooper,2021-10-01,Center,1
Hattie B Cooper,2021-12-01,Heggerty,1
Boys & Girls Club - Denny,2021-05-01,Other,1
