school,date,session_count
YMCA RTH,01-2021,2
YMCA RTH,02-2021,1
YMCA RTH,03-2021,2
YMCA RTH,05-2021,1
YMCA RTH,06-2021,1
JFK Center,01-2021,4
JFK Center,02-2021,6
JFK Center,03-2021,7
JFK Center,04-2021,5
JFK Center,05-2021,4
JFK Center,06-2021,1
JFK Center,09-2021,3
JFK Center,10-2021,3
JFK Center,11-2021,4
Horizons for Children,01-2021,4
Horizons for Children,02-2021,4
Horizons for Children,03-2021,5
Horizons for Children,04-2021,2
Horizons for Children,10-2021,3
Horizons for Children,11-2021,2
Crispus Attucks,02-2021,1
Crispus Attucks,03-2021,1
Crispus Attucks,04-2021,1
Crispus Attucks,05-2021,1
Crispus Attucks,07-2021,2
Crispus Attucks,08-2021,1
Nurtury - Horadan Way,01-2021,2
Shaloh,01-2021,1
Shaloh,02-2021,2
Shaloh,03-2021,2
Shaloh,04-2021,2
Shaloh,10-2021,1
Shaloh,12-2021,1
ABCD - Jamaica Plain,01-2021,2
ABCD - Jamaica Plain,03-2021,3
ABCD - Jamaica Plain,04-2021,1
ABCD - Jamaica Plain,05-2021,2
ABCD - Jamaica Plain,10-2021,2
ABCD - Jamaica Plain,09-2021,2
South Boston Neighborhood House,01-2021,2
South Boston Neighborhood House,02-2021,3
South Boston Neighborhood House,03-2021,1
South Boston Neighborhood House,04-2021,1
South Boston Neighborhood House,11-2021,2
South Boston Neighborhood House,12-2021,1
Nurtury - Tremont,01-2021,2
Nurtury - Tremont,02-2021,1
Children's Services of Roxbury,11-2021,1
YMCA Roxbury,01-2021,1
YMCA Roxbury,03-2021,1
YMCA Roxbury,04-2021,1
YMCA Roxbury,05-2021,2
YMCA Roxbury,09-2021,2
YMCA Roxbury,10-2021,2
ABCD Roslindale,01-2021,2
ABCD Roslindale,02-2021,2
ABCD Roslindale,03-2021,2
ABCD Roslindale,04-2021,1
ABCD Roslindale,05-2021,1
ABCD Roslindale,10-2021,1
Little Voices,01-2021,5
Little Voices,02-2021,5
Little Voices,03-2021,4
Little Voices,04-2021,3
Little Voices,05-2021,6
Little Voices,06-2021,1
Little Voices,09-2021,2
Little Voices,10-2021,3
Little Voices,11-2021,7
Little Voices,12-2021,3
Nurtury - Learning Lab,01-2021,1
Nurtury - Learning Lab,12-2021,1
Nurtury - Learning Lab,02-2021,1
Torah Academy,01-2021,2
Torah Academy,02-2021,2
Torah Academy,03-2021,2
Torah Academy,04-2021,1
Torah Academy,05-2021,1
Torah Academy,10-2021,2
Hattie B Cooper,01-2021,3
Hattie B Cooper,02-2021,2
Hattie B Cooper,03-2021,4
Hattie B Cooper,04-2021,1
Hattie B Cooper,06-2021,1
Hattie B Cooper,05-2021,2
Hattie B Cooper,09-2021,1
Hattie B Cooper,10-2021,1
Hattie B Cooper,12-2021,2
Boys & Girls Club - Denny,05-2021,1
Boys & Girls Club - Denny,10-2021,1
YMCA - East Boston,01-2021,5
YMCA - East Boston,02-2021,2
YMCA - East Boston,03-2021,2
YMCA - East Boston,04-2021,1
YMCA - East Boston,05-2021,2
YMCA - East Boston,10-2021,2
YMCA - East Boston,11-2021,1
Wesley,01-2021,2
Wesley,02-2021,1
Wesley,03-2021,2
Wesley,04-2021,3
Wesley,05-2021,1
Wesley,06-2021,2
Wesley,11-2021,2
Wesley,12-2021,1
Paige Academy,01-2021,1
Paige Academy,02-2021,1
Paige Academy,03-2021,2
Paige Academy,05-2021,1
Paige Academy,06-2021,1
Children Services of Roxbury,11-2021,1
Boys & Girls Club - Marr,02-2021,2
Boys & Girls Club - Marr,01-2021,1
Boys & Girls Club - Marr,03-2021,2
Boys & Girls Club - Marr,04-2021,1
Boys & Girls Club - Marr,06-2021,1
Boys & Girls Club - Marr,10-2021,1
Boys & Girls Club - Marr,09-2021,1
Ellis Memorial,01-2021,3
Mission Grammar,01-2021,4
Mission Grammar,03-2021,2
Mission Grammar,04-2021,1
Mission Grammar,05-2021,3
Mission Grammar,06-2021,1
Mission Grammar,10-2021,1
Mission Grammar,11-2021,1
Boys & Girls Club - McLaughlin,06-2021,1
Boys & Girls Club - McLaughlin,09-2021,1
YMCA Wang,01-2021,1
YMCA Wang,02-2021,1
YMCA Wang,03-2021,2
YMCA Wang,04-2021,1
YMCA Wang,05-2021,1
YMCA Wang,10-2021,2
YMCA Wang,09-2021,2
VietAid,01-2021,1
VietAid,02-2021,1
VietAid,03-2021,2
VietAid,04-2021,1
VietAid,05-2021,1
ABCD Hyde Park,01-2021,1
ABCD Hyde Park,02-2021,1
ABCD Hyde Park,03-2021,1
ABCD Hyde Park,04-2021,1
ABCD Hyde Park,05-2021,1
ABCD Hyde Park,10-2021,1
Nurtury - Mt Pleasant,01-2021,1
Nurtury - Mt Pleasant,02-2021,1
YMCA - West Roxbury,01-2021,3
YMCA - West Roxbury,02-2021,2
YMCA - West Roxbury,03-2021,2
YMCA - West Roxbury,04-2021,2
YMCA - West Roxbury,05-2021,2
YMCA - West Roxbury,06-2021,1
YMCA - West Roxbury,09-2021,2
YMCA - West Roxbury,10-2021,2
YMCA - West Roxbury,11-2021,1
YMCA - West Roxbury,12-2021,2
BCNC,01-2021,3
BCNC,02-2021,3
BCNC,03-2021,3
BCNC,04-2021,2
BCNC,05-2021,1
BCNC,09-2021,1
BCNC,11-2021,1
ABCD - Walnut Grove,01-2021,2
ABCD - Walnut Grove,03-2021,1
ABCD - Walnut Grove,04-2021,1
ABCD - Walnut Grove,05-2021,1
ABCD - Walnut Grove,09-2021,2
ABCD - Walnut Grove,10-2021,2
